experiment,model,total_tasks,sleep_ms,concurrency,repeat_id,total_time_s,qps,p95_latency_ms,peak_used_memory_mb
java_scaling,platform_thread,10000,50,100,1,6.236822,1603.380773,5910.907700,26.031250
java_scaling,virtual_thread,10000,50,100,1,6.229145,1605.356832,5889.483200,30.425903
java_scaling,platform_thread,10000,50,500,1,1.262099,7923.311849,1176.002100,88.425903
java_scaling,virtual_thread,10000,50,500,1,1.245308,8030.141941,1176.263700,106.425903
java_scaling,platform_thread,10000,50,1000,1,0.664131,15057.263526,607.034600,112.425903
java_scaling,virtual_thread,10000,50,1000,1,0.620660,16111.880901,618.449800,113.755508
java_scaling,platform_thread,10000,50,2000,1,0.424412,23562.027154,297.623900,137.755508
java_scaling,virtual_thread,10000,50,2000,1,0.309784,32280.577616,305.197000,39.925720
java_scaling,platform_thread,10000,50,3000,1,0.385174,25962.278886,187.585800,55.925720
java_scaling,virtual_thread,10000,50,3000,1,0.245503,40732.766170,240.895500,67.925720
java_scaling,platform_thread,10000,50,100,2,6.232196,1604.570793,5919.059900,69.925720
java_scaling,virtual_thread,10000,50,100,2,6.238280,1603.006008,5922.574600,83.925720
java_scaling,platform_thread,10000,50,500,2,1.270577,7870.437488,1179.934300,87.925720
java_scaling,virtual_thread,10000,50,500,2,1.249905,8000.607406,1188.044000,99.925720
java_scaling,platform_thread,10000,50,1000,2,0.677550,14759.067085,608.471700,105.925720
java_scaling,virtual_thread,10000,50,1000,2,0.625068,15998.267068,623.104900,117.925720
java_scaling,platform_thread,10000,50,2000,2,0.410596,24354.869939,278.243600,129.925720
java_scaling,virtual_thread,10000,50,2000,2,0.309168,32344.853061,305.914000,141.925720
java_scaling,platform_thread,10000,50,3000,2,0.420367,23788.720007,186.819000,141.925720
java_scaling,virtual_thread,10000,50,3000,2,0.243877,41004.310373,241.417000,31.315125
java_scaling,platform_thread,10000,50,100,3,6.226738,1605.977422,5914.047000,33.315125
java_scaling,virtual_thread,10000,50,100,3,6.234018,1604.101804,5920.980800,45.315125
java_scaling,platform_thread,10000,50,500,3,1.269133,7879.397314,1184.340200,49.315125
java_scaling,virtual_thread,10000,50,500,3,1.243794,8039.917871,1180.054200,61.315125
java_scaling,platform_thread,10000,50,1000,3,0.673704,14843.311774,604.478700,67.315125
java_scaling,virtual_thread,10000,50,1000,3,0.623679,16033.878945,621.557200,79.315125
java_scaling,platform_thread,10000,50,2000,3,0.422469,23670.381417,285.123100,91.315125
java_scaling,virtual_thread,10000,50,2000,3,0.310800,32175.001118,308.579900,103.315125
java_scaling,platform_thread,10000,50,3000,3,0.402780,24827.436900,179.100200,121.315125
java_scaling,virtual_thread,10000,50,3000,3,0.245959,40657.199231,244.108600,133.315125
