experiment,model,total_tasks,delay_ms,concurrency,repeat_id,total_time_s,qps,p95_latency_ms,peak_rss_mb
python_scaling,threadpool,10000,50,100,1,5.14394829999992,1944.0319802592408,4764.407199999823,99.21875
python_scaling,asyncio,10000,50,100,1,6.286140799999885,1590.8011478203262,5941.5484000001015,87.7109375
python_scaling,threadpool,10000,50,500,1,2.410293200000069,4148.87284252377,1817.58949999994,130.41015625
python_scaling,asyncio,10000,50,500,1,1.9935332999998536,5016.219192325874,1902.5627999999415,88.0
python_scaling,threadpool,10000,50,1000,1,2.5554683000000296,3913.1770877376503,1450.7228999996187,168.4765625
python_scaling,asyncio,10000,50,1000,1,2.1590845999999146,4631.592481369371,2071.5319999999338,89.1015625
python_scaling,threadpool,10000,50,2000,1,2.781898100000035,3594.667971483166,603.1426999998075,244.96484375
python_scaling,asyncio,10000,50,2000,1,2.152067299999999,4646.694831523162,2080.7872999998835,91.71875
python_scaling,threadpool,10000,50,3000,1,3.061774499999956,3266.0798501000463,52.96229999976276,312.30859375
python_scaling,asyncio,10000,50,3000,1,2.240324999999757,4463.638088224291,2136.7660999999316,94.13671875
python_scaling,threadpool,10000,50,5000,1,3.051951200000076,3276.5923649106026,52.70450000034543,312.1328125
python_scaling,asyncio,10000,50,5000,1,2.301775599999928,4344.4721544534195,2235.901499999727,94.859375
python_scaling,threadpool,10000,50,100,2,5.1478646999999,1942.5529967794596,4766.639899999973,106.46875
python_scaling,asyncio,10000,50,100,2,6.515589600000112,1534.7805208602806,6167.313500000091,93.578125
python_scaling,threadpool,10000,50,500,2,2.3465634000003774,4261.551168827738,1741.7647000002034,135.73828125
python_scaling,asyncio,10000,50,500,2,2.0584484000000884,4858.028017607617,1949.0516999999272,94.76953125
python_scaling,threadpool,10000,50,1000,2,2.4780115000003207,4035.493782009771,1348.9472000001115,172.90625
python_scaling,asyncio,10000,50,1000,2,2.1188704999999572,4719.495599188436,2014.1459000001305,93.9765625
python_scaling,threadpool,10000,50,2000,2,2.8074022999999215,3562.011757274787,643.6533999999483,247.1640625
python_scaling,asyncio,10000,50,2000,2,2.161742100000083,4625.89871381957,2062.1486000000004,94.91015625
python_scaling,threadpool,10000,50,3000,2,3.1316845999999714,3193.1695803594307,52.83439999993789,313.19140625
python_scaling,asyncio,10000,50,3000,2,2.2829392999997253,4380.31795238761,2213.0919999999605,94.56640625
python_scaling,threadpool,10000,50,5000,2,3.2449635999996644,3081.698666820495,53.494599999794445,312.16796875
python_scaling,asyncio,10000,50,5000,2,2.3249049000000923,4301.251203866275,2267.781399999876,94.171875
python_scaling,threadpool,10000,50,100,3,5.148000700000011,1942.5016783700084,4715.521499999795,106.2421875
python_scaling,asyncio,10000,50,100,3,6.468111900000167,1546.0462271841247,6135.739199999989,103.90234375
python_scaling,threadpool,10000,50,500,3,2.3914991999999984,4181.477459829385,1723.3491000001777,135.8125
python_scaling,asyncio,10000,50,500,3,2.144526699999915,4663.033572862672,2059.2730999997,93.8671875
python_scaling,threadpool,10000,50,1000,3,2.4666212000001906,4054.1287815085784,1342.1293999999762,173.17578125
python_scaling,asyncio,10000,50,1000,3,2.09257609999986,4778.798725647621,2006.52029999992,94.203125
python_scaling,threadpool,10000,50,2000,3,2.850075299999844,3508.6792268262343,651.7972000001464,247.5078125
python_scaling,asyncio,10000,50,2000,3,2.187038399999892,4572.393424825323,2099.2317000000185,95.37109375
python_scaling,threadpool,10000,50,3000,3,3.117381299999579,3207.8206153354904,54.26689999967493,313.4296875
python_scaling,asyncio,10000,50,3000,3,2.345374200000151,4263.711948395849,2288.009900000361,95.3046875
python_scaling,threadpool,10000,50,5000,3,3.106703700000253,3218.845749596006,53.1050999998115,313.453125
python_scaling,asyncio,10000,50,5000,3,2.281167000000096,4383.7211392237305,2211.0348000001068,96.6015625
