experiment,delay_ms,task_count,asyncio_wall_time_s,threadpool_wall_time_s,speedup_asyncio_vs_threadpool,asyncio_throughput,threadpool_throughput,asyncio_peak_rss_mb,threadpool_peak_rss_mb
http_local,10,100,0.037067,0.081517,2.199,2748.002,1232.681,105.695,106.505
http_local,10,1000,0.162239,0.755869,4.659,6193.163,1328.917,109.377,120.611
http_local,10,3000,0.364061,2.084246,5.725,8252.439,1440.773,110.884,123.905
http_local,50,100,0.086109,0.138701,1.611,1165.299,728.756,106.734,108.466
http_local,50,1000,0.422738,0.787556,1.863,2381.505,1270.245,110.396,122.988
http_local,50,3000,1.082343,2.166355,2.002,2779.817,1387.958,110.824,125.053
http_local,100,100,0.145417,0.181121,1.246,689.03,555.485,104.141,106.894
http_local,100,1000,0.664978,0.842533,1.267,1506.32,1189.475,110.895,123.277
http_local,100,3000,1.872805,2.451246,1.309,1606.116,1236.179,111.65,125.605
